,flight_id,dep,dep_time,arr_time
0,0,0,1967,3365
1,1,0,4638,7790
2,2,1,4642,7356
3,3,1,2041,4319
4,4,1,6469,9455
5,5,0,2101,4865
6,6,2,6323,9732
7,7,0,4864,5961
8,8,2,3204,4369
9,9,1,2374,2990
10,10,2,6349,8639
11,11,1,5780,6537
12,12,0,1763,3746
13,13,0,1285,2736
14,14,2,2406,3447
15,15,2,2036,5554
16,16,2,4290,7565
17,17,1,4305,5926
18,18,2,7953,8639
19,19,1,7186,8913
20,20,2,5186,6308
21,21,2,2887,3781
22,22,2,4041,5331
23,23,1,4532,5707
24,24,0,6888,10211
25,25,2,5255,6568
26,26,1,766,2114
27,27,1,315,2236
28,28,2,5236,6802
29,29,0,5873,9036
30,30,0,5778,8143
31,31,0,873,2800
32,32,0,1383,3012
33,33,0,5346,8745
34,34,0,5099,7803
35,35,2,33,1691
